doc_sha,doc_title,doc_source,doc_pages,chunker,step_tau,step_precision,step_count_fidelity,precondition_recall,constraint_f1,orphan_constraint_rate,constraint_precision,constraint_recall,n_gold_steps,n_pred_steps,n_gold_constraints,n_pred_constraints
247bb79066,ADM 03-00-008 OSHA Clearance Process for Non-Policy and Poli,osha,39,fixed,-0.11470985155195682,0.25925925925925924,0.7222222222222222,0.0,0.0,0.0625,0.0,0.0,39,54,4,16
247bb79066,ADM 03-00-008 OSHA Clearance Process for Non-Policy and Poli,osha,39,recursive,0.20647773279352227,0.3050847457627119,0.6610169491525424,0.0,0.0,0.2857142857142857,0.0,0.0,39,59,4,14
247bb79066,ADM 03-00-008 OSHA Clearance Process for Non-Policy and Poli,osha,39,semantic,0.5006747638326585,0.5172413793103449,0.6724137931034483,0.3333333333333333,0.0,0.08333333333333333,0.0,0.0,39,58,4,12
247bb79066,ADM 03-00-008 OSHA Clearance Process for Non-Policy and Poli,osha,39,layout_aware,0.05398110661268556,0.3448275862068966,0.6724137931034483,0.0,0.0,0.0,0.0,0.0,39,58,4,9
247bb79066,ADM 03-00-008 OSHA Clearance Process for Non-Policy and Poli,osha,39,pac,0.5546558704453441,0.46875,0.609375,0.0,0.0,0.25,0.0,0.0,39,64,4,8
2284b89219,"IP 69005, ""Class I Research and Test Reactor Experiments.""",nrc,8,fixed,1.0,0.35294117647058826,0.3529411764705882,0.0,0.0,0.2,0.0,0.0,12,34,3,15
2284b89219,"IP 69005, ""Class I Research and Test Reactor Experiments.""",nrc,8,recursive,1.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.0,12,44,3,22
2284b89219,"IP 69005, ""Class I Research and Test Reactor Experiments.""",nrc,8,semantic,1.0,0.32432432432432434,0.32432432432432434,0.0,0.0,0.2222222222222222,0.0,0.0,12,37,3,18
2284b89219,"IP 69005, ""Class I Research and Test Reactor Experiments.""",nrc,8,layout_aware,1.0,0.3333333333333333,0.33333333333333337,0.0,0.0,0.23529411764705882,0.0,0.0,12,36,3,17
2284b89219,"IP 69005, ""Class I Research and Test Reactor Experiments.""",nrc,8,pac,0.2727272727272727,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,12,21,3,7
3b789378bd,Biosafety in Microbiological and Biomedical Laboratories—6th,cdc,614,fixed,-0.2857142857142857,0.03225806451612903,0.22580645161290325,0.0,0.0,0.29411764705882354,0.0,0.0,7,31,6,34
3b789378bd,Biosafety in Microbiological and Biomedical Laboratories—6th,cdc,614,recursive,0.0,0.0,0.2692307692307693,0.0,0.0,0.42105263157894735,0.0,0.0,7,26,6,19
3b789378bd,Biosafety in Microbiological and Biomedical Laboratories—6th,cdc,614,semantic,-0.19047619047619047,0.030303030303030304,0.21212121212121215,0.0,0.0,0.45,0.0,0.0,7,33,6,20
3b789378bd,Biosafety in Microbiological and Biomedical Laboratories—6th,cdc,614,layout_aware,0.0,0.0,0.16666666666666663,0.0,0.0,0.5263157894736842,0.0,0.0,7,42,6,19
3b789378bd,Biosafety in Microbiological and Biomedical Laboratories—6th,cdc,614,pac,0.0,0.0,0.19444444444444442,0.0,0.0,0.7575757575757576,0.0,0.0,7,36,6,33
5ccee9415f,Method Validation of U.S. EPA Microbiological Methods of Ana,epa,78,fixed,0.0,0.0,0.0847457627118644,0.0,0.0,0.23076923076923078,0.0,0.0,5,59,1,13
5ccee9415f,Method Validation of U.S. EPA Microbiological Methods of Ana,epa,78,recursive,-0.4,0.02040816326530612,0.10204081632653061,0.0,0.0,0.42857142857142855,0.0,0.0,5,49,1,14
5ccee9415f,Method Validation of U.S. EPA Microbiological Methods of Ana,epa,78,semantic,0.0,0.0,0.0847457627118644,0.0,0.0,0.2,0.0,0.0,5,59,1,15
5ccee9415f,Method Validation of U.S. EPA Microbiological Methods of Ana,epa,78,layout_aware,0.0,0.0,0.11363636363636365,0.0,0.0,0.4,0.0,0.0,5,44,1,15
5ccee9415f,Method Validation of U.S. EPA Microbiological Methods of Ana,epa,78,pac,-0.4,0.015151515151515152,0.0757575757575758,0.5,0.0,0.2777777777777778,0.0,0.0,5,66,1,18
a9fa7483da,Training Requirements in OSHA Standards,osha,270,fixed,0.10909090909090909,0.058823529411764705,0.16176470588235292,0.0,0.0,0.0,0.0,0.0,11,68,8,16
a9fa7483da,Training Requirements in OSHA Standards,osha,270,recursive,0.21818181818181817,0.06097560975609756,0.13414634146341464,0.0,0.0,0.06451612903225806,0.0,0.0,11,82,8,31
a9fa7483da,Training Requirements in OSHA Standards,osha,270,semantic,0.03636363636363636,0.0625,0.171875,0.75,0.0,0.0,0.0,0.0,11,64,8,24
a9fa7483da,Training Requirements in OSHA Standards,osha,270,layout_aware,-0.05454545454545454,0.03529411764705882,0.12941176470588234,0.0,0.0,0.14285714285714285,0.0,0.0,11,85,8,21
a9fa7483da,Training Requirements in OSHA Standards,osha,270,pac,0.07272727272727272,0.05555555555555555,0.1527777777777778,0.0,0.0,0.0,0.0,0.0,11,72,8,14
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",nrc,6,fixed,0.0,0.1836734693877551,0.18367346938775508,0.0,0.08695652173913045,0.10526315789473684,0.045454545454545456,1.0,9,49,2,19
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",nrc,6,recursive,0.0,0.19148936170212766,0.19148936170212771,0.0,0.08695652173913045,0.10526315789473684,0.045454545454545456,1.0,9,47,2,19
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",nrc,6,semantic,0.0,0.2571428571428571,0.2571428571428571,0.0,0.1111111111111111,0.0,0.058823529411764705,1.0,9,35,2,15
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",nrc,6,layout_aware,0.0,0.20454545454545456,0.20454545454545459,0.0,0.0909090909090909,0.0,0.047619047619047616,1.0,9,44,2,18
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",nrc,6,pac,0.25,0.2,0.9,0.0,0.0,0.0,0.0,0.0,9,10,2,8
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measurement of S,epa,54,fixed,-0.10714285714285714,0.07058823529411765,0.09411764705882353,0.0,0.0,0.2903225806451613,0.0,0.0,8,85,4,31
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measurement of S,epa,54,recursive,0.42857142857142855,0.1590909090909091,0.18181818181818177,0.0,0.0,0.0,0.0,0.0,8,44,4,12
