baseline,metric,n_paired,pac_mean_delta,pac_wins,pac_ties,pac_losses,wilcoxon_W,wilcoxon_p
fixed,step_tau,26,-0.0053,11,5,10,109.0,0.8213
fixed,step_precision,26,0.0173,14,1,11,126.0,0.326
fixed,step_count_fidelity,26,0.0831,14,2,10,89.0,0.0814
fixed,precondition_recall,26,0.0965,6,18,2,9.0,0.2076
fixed,constraint_f1,26,-0.002,3,21,2,7.0,0.8927
fixed,orphan_constraint_rate,26,0.0315,13,3,10,102.0,0.2735
recursive,step_tau,26,-0.0399,10,5,11,98.0,0.543
recursive,step_precision,26,0.0335,15,2,9,106.0,0.2087
recursive,step_count_fidelity,26,0.0967,17,0,9,97.0,0.0462
recursive,precondition_recall,26,0.1119,7,15,4,14.0,0.0912
recursive,constraint_f1,26,-0.003,4,19,3,14.0,1.0
recursive,orphan_constraint_rate,26,0.0304,13,5,8,90.0,0.3754
semantic,step_tau,26,-0.023,12,2,12,146.0,0.909
semantic,step_precision,26,0.0134,13,2,11,116.0,0.3313
semantic,step_count_fidelity,26,0.0473,11,3,12,117.0,0.523
semantic,precondition_recall,26,0.1353,8,14,4,18.0,0.0995
semantic,constraint_f1,26,0.0031,4,19,3,14.0,1.0
semantic,orphan_constraint_rate,26,0.0544,12,4,10,111.0,0.6148
layout_aware,step_tau,26,0.0543,13,4,9,101.0,0.4077
layout_aware,step_precision,26,-0.0081,13,4,9,106.0,0.5057
layout_aware,step_count_fidelity,26,0.0729,12,3,11,112.0,0.4291
layout_aware,precondition_recall,26,0.0871,7,13,6,34.0,0.4216
layout_aware,constraint_f1,26,0.0087,4,19,3,11.0,0.6121
layout_aware,orphan_constraint_rate,26,0.0166,12,3,11,130.0,0.8078
