doc_sha,doc_title,doc_source,doc_pages,chunker,step_tau,step_precision,step_count_fidelity,precondition_recall,constraint_f1,orphan_constraint_rate,constraint_precision,constraint_recall,n_gold_steps,n_pred_steps,n_gold_constraints,n_pred_constraints
2284b89219,"IP 69005, ""Class I Research and Test Reactor Experiments.""",nrc,8,fixed,0.9358974358974359,0.45454545454545453,0.5909090909090908,1.0,0.0,1.0,0.0,0.0,13,22,1,16
2284b89219,"IP 69005, ""Class I Research and Test Reactor Experiments.""",nrc,8,recursive,1.0,0.3939393939393939,0.3939393939393939,1.0,0.0,1.0,0.0,0.0,13,33,1,3
2284b89219,"IP 69005, ""Class I Research and Test Reactor Experiments.""",nrc,8,semantic,0.6923076923076923,0.52,0.52,1.0,0.0,1.0,0.0,0.0,13,25,1,10
2284b89219,"IP 69005, ""Class I Research and Test Reactor Experiments.""",nrc,8,layout_aware,1.0,0.29545454545454547,0.2954545454545454,1.0,0.0,1.0,0.0,0.0,13,44,1,11
2284b89219,"IP 69005, ""Class I Research and Test Reactor Experiments.""",nrc,8,pac,1.0,0.48148148148148145,0.4814814814814815,1.0,0.0,1.0,0.0,0.0,13,27,1,9
5ccee9415f,Method Validation of U.S. EPA Microbiological Methods of Ana,epa,78,fixed,0.0,0.0,0.17460317460317465,1.0,0.0,1.0,0.0,0.0,11,63,2,3
5ccee9415f,Method Validation of U.S. EPA Microbiological Methods of Ana,epa,78,recursive,-0.01818181818181818,0.0273972602739726,0.15068493150684936,1.0,0.0,1.0,0.0,0.0,11,73,2,8
5ccee9415f,Method Validation of U.S. EPA Microbiological Methods of Ana,epa,78,semantic,0.0,0.0,0.16176470588235292,1.0,0.0,1.0,0.0,0.0,11,68,2,4
5ccee9415f,Method Validation of U.S. EPA Microbiological Methods of Ana,epa,78,layout_aware,0.0,0.0,0.22916666666666663,1.0,0.0,1.0,0.0,0.0,11,48,2,4
5ccee9415f,Method Validation of U.S. EPA Microbiological Methods of Ana,epa,78,pac,0.2,0.023622047244094488,0.08661417322834641,1.0,0.0,1.0,0.0,0.0,11,127,2,2
a9fa7483da,Training Requirements in OSHA Standards,osha,270,fixed,-0.1388888888888889,0.06593406593406594,0.09890109890109888,1.0,0.0,1.0,0.0,0.0,9,91,0,6
a9fa7483da,Training Requirements in OSHA Standards,osha,270,recursive,-0.027777777777777776,0.05217391304347826,0.07826086956521738,1.0,0.0,1.0,0.0,0.0,9,115,0,13
a9fa7483da,Training Requirements in OSHA Standards,osha,270,semantic,0.3888888888888889,0.07079646017699115,0.07964601769911506,1.0,0.0,1.0,0.0,0.0,9,113,0,3
a9fa7483da,Training Requirements in OSHA Standards,osha,270,layout_aware,0.027777777777777776,0.06422018348623854,0.08256880733944949,1.0,0.0,0.0,0.0,0.0,9,109,0,0
a9fa7483da,Training Requirements in OSHA Standards,osha,270,pac,0.4722222222222222,0.06422018348623854,0.08256880733944949,1.0,0.0,1.0,0.0,0.0,9,109,0,4
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",nrc,6,fixed,0.45751633986928103,0.6666666666666666,0.6666666666666667,1.0,0.0,1.0,0.0,0.0,18,12,2,4
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",nrc,6,recursive,0.5555555555555556,0.43478260869565216,0.782608695652174,1.0,0.0,1.0,0.0,0.0,18,23,2,3
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",nrc,6,semantic,0.48366013071895425,0.7058823529411765,0.9444444444444444,1.0,0.0,1.0,0.0,0.0,18,17,2,6
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",nrc,6,layout_aware,0.5294117647058824,0.45,0.9,1.0,0.0,1.0,0.0,0.0,18,20,2,6
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",nrc,6,pac,0.5032679738562091,0.5,0.6923076923076923,1.0,0.0,1.0,0.0,0.0,18,26,2,7
88bd6627c3,NCEZID_Top 10 Accomplishments,cdc,20,fixed,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14,0,0,0
88bd6627c3,NCEZID_Top 10 Accomplishments,cdc,20,recursive,0.0,0.0,0.1428571428571429,1.0,0.0,0.0,0.0,0.0,14,2,0,0
88bd6627c3,NCEZID_Top 10 Accomplishments,cdc,20,semantic,-0.054945054945054944,0.058823529411764705,0.8235294117647058,1.0,0.0,1.0,0.0,0.0,14,17,0,1
88bd6627c3,NCEZID_Top 10 Accomplishments,cdc,20,layout_aware,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14,0,0,0
88bd6627c3,NCEZID_Top 10 Accomplishments,cdc,20,pac,-0.03296703296703297,0.17142857142857143,0.4,1.0,0.0,0.0,0.0,0.0,14,35,0,0
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measurement of S,epa,54,fixed,0.3974358974358974,0.06593406593406594,0.1428571428571429,1.0,0.0,1.0,0.0,0.0,13,91,3,7
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measurement of S,epa,54,recursive,-0.20512820512820512,0.07042253521126761,0.18309859154929575,1.0,0.0,1.0,0.0,0.0,13,71,3,4
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measurement of S,epa,54,semantic,-0.0641025641025641,0.07692307692307693,0.1428571428571429,1.0,0.0,1.0,0.0,0.0,13,91,3,2
